Province/State,Department,Lat,Long,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20
,Atlántida,-8.690.185.546.874.990,15.331.869.533.637.500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,10,10
,Choluteca,-8.716.552.734.375,13.277.372.689.908.300,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Colón,-855.780.029.296.875,15.707.662.769.583.500,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,12,14,14,14,18,18,18,18,18
,Comayagua,-8.763.519.287.109.370,14.432.020.320.224.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Copán,-888.189.697.265.625,14.774.882.506.516.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cortés,-8.763.519.287.109.370,14.432.020.320.224.600,0,0,0,0,0,0,2,7,7,7,9,9,9,10,24,24,42,51,78,80,102,139,140,169,170
,El Paraiso,-865.887.451.171.875,14.030.014.548.014.300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Francisco Morazán,-871.490.478.515.625,14.080.637.271.223.900,1,1,2,2,4,6,7,14,14,14,14,14,16,16,16,32,32,35,37,37,39,43,44,45,47
,Gracias a Dios,-8.439.697.265.625,15.199.386.048.559.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Intibucá,-8.816.802.978.515.620,1.426.970.682.947.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Islas de la Bahía,-86.429.443.359.375,163.833.911.236.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,La Paz,-8.793.731.689.453.120,14.056.659.482.401.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,Lempira,-8.861.572.265.625,14.314.953.551.894.500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,4
,Ocotepeque,-8.906.890.869.140.620,14.479.893.564.168.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Olancho,-857.537.841.796.875,14.806.749.372.133.700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Santa Barbara,-8.830.810.546.875,15.117.204.423.332.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,8,8
,Valle,-875.665.283.203.125,13.528.519.411.472.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yoro,-8.718.200.683.593.740,15.199.386.048.559.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,6,6,7,7